,N,F0,m,d_ms,d0,v0,prob,collision
400,10.0,-2575.0,1751.0,1166.0,4.0,94.0,0.5,0.0
402,5.0,-256.0,1387.0,1490.0,2.0,119.0,0.5,1.0
403,4.0,-3983.0,1271.0,806.0,4.0,127.0,0.5,0.0
409,4.0,-376.0,1186.0,1268.0,5.0,130.0,0.5,0.0
410,10.0,-4002.0,1412.0,1439.0,2.0,97.0,0.5,1.0
412,6.0,-354.0,1215.0,648.0,5.0,96.0,0.5,0.0
413,5.0,-2020.0,1468.0,900.0,2.0,92.0,0.5,1.0
414,4.0,-2306.0,1650.0,1167.0,4.0,70.0,0.5,0.0
415,7.0,-365.0,1671.0,813.0,4.0,122.0,0.5,0.0
416,10.0,-763.0,1385.0,1494.0,4.0,60.0,0.5,0.0
417,5.0,-3973.0,1858.0,507.0,5.0,109.0,0.5,0.0
419,3.0,-2840.0,1621.0,1149.0,3.0,77.0,0.5,1.0
420,5.0,-150.0,1915.0,1095.0,4.0,98.0,0.5,1.0
421,4.0,-2570.0,1523.0,1287.0,5.0,103.0,0.5,0.0
422,8.0,-4743.0,1701.0,568.0,3.0,74.0,0.5,1.0
423,3.0,-3747.0,1685.0,504.0,5.0,111.0,0.5,0.0
424,10.0,-4889.0,1185.0,621.0,4.0,136.0,0.5,0.0
425,8.0,-2257.0,1161.0,635.0,4.0,64.0,0.5,0.0
426,10.0,-1609.0,1456.0,1359.0,2.0,82.0,0.5,1.0
428,9.0,-2196.0,1827.0,1056.0,2.0,61.0,0.5,1.0
431,8.0,-3429.0,1157.0,1485.0,3.0,145.0,0.5,1.0
433,11.0,-983.0,1879.0,1417.0,2.0,79.0,0.5,1.0
434,9.0,-1465.0,1529.0,1222.0,3.0,106.0,0.5,1.0
436,5.0,-723.0,1747.0,661.0,5.0,159.0,0.5,0.0
438,11.0,-2706.0,1179.0,750.0,2.0,60.0,0.5,1.0
439,5.0,-1076.0,1607.0,555.0,5.0,100.0,0.5,0.0
440,6.0,-1717.0,1999.0,1200.0,3.0,143.0,0.5,1.0
441,6.0,-3271.0,1436.0,1016.0,4.0,158.0,0.5,0.0
442,9.0,-3130.0,1583.0,684.0,2.0,87.0,0.5,1.0
443,10.0,-2113.0,1272.0,1134.0,3.0,62.0,0.5,1.0
444,8.0,-3712.0,1626.0,1243.0,5.0,140.0,0.5,0.0
445,10.0,-4264.0,1848.0,1039.0,3.0,111.0,0.5,0.0
446,4.0,-4775.0,1942.0,978.0,5.0,90.0,0.5,0.0
447,11.0,-3134.0,1618.0,609.0,4.0,86.0,0.5,0.0
448,5.0,-1524.0,1247.0,610.0,2.0,157.0,0.5,1.0
451,3.0,-3725.0,1619.0,1397.0,2.0,100.0,0.5,1.0
452,10.0,-781.0,1129.0,1047.0,2.0,91.0,0.5,1.0
454,4.0,-3471.0,1055.0,590.0,5.0,142.0,0.5,0.0
455,4.0,-1143.0,1834.0,1301.0,2.0,87.0,0.5,1.0
456,11.0,-4926.0,1491.0,1482.0,3.0,87.0,0.5,1.0
457,3.0,-4225.0,1098.0,942.0,4.0,130.0,0.5,0.0
458,7.0,-3563.0,1180.0,1201.0,2.0,111.0,0.5,1.0
459,6.0,-2124.0,1890.0,1401.0,5.0,116.0,0.5,0.0
460,5.0,-2659.0,1130.0,1132.0,4.0,101.0,0.5,0.0
461,5.0,-4675.0,1483.0,1299.0,4.0,86.0,0.5,0.0
462,10.0,-1068.0,1143.0,889.0,3.0,125.0,0.5,1.0
464,5.0,-2558.0,1660.0,1359.0,5.0,140.0,0.5,0.0
466,8.0,-680.0,1934.0,650.0,5.0,70.0,0.5,0.0
469,9.0,-4400.0,1931.0,879.0,5.0,113.0,0.5,0.0
470,10.0,-2434.0,1970.0,771.0,3.0,156.0,0.5,0.0
473,11.0,-3282.0,1439.0,705.0,5.0,101.0,0.5,0.0
477,8.0,-4633.0,1012.0,542.0,5.0,134.0,0.5,0.0
478,6.0,-4060.0,1394.0,1413.0,4.0,92.0,0.5,0.0
480,5.0,-4961.0,1598.0,735.0,3.0,119.0,0.5,1.0
481,4.0,-2569.0,1598.0,793.0,2.0,78.0,0.5,1.0
482,9.0,-4166.0,1295.0,1074.0,4.0,77.0,0.5,0.0
483,11.0,-1662.0,1837.0,1153.0,3.0,155.0,0.5,1.0
489,3.0,-1345.0,1810.0,602.0,2.0,97.0,0.5,1.0
491,6.0,-163.0,1806.0,1388.0,4.0,80.0,0.5,0.0
492,9.0,-804.0,1802.0,1361.0,5.0,145.0,0.5,0.0
493,4.0,-3411.0,1860.0,1472.0,2.0,157.0,0.5,1.0
494,3.0,-1312.0,1503.0,1418.0,4.0,119.0,0.5,0.0
495,11.0,-393.0,1202.0,946.0,5.0,70.0,0.5,0.0
499,4.0,-1996.0,1965.0,1272.0,2.0,62.0,0.5,1.0
500,3.0,-749.0,1992.0,1365.0,5.0,89.0,0.5,0.0
502,9.0,-3917.0,1090.0,1101.0,2.0,81.0,0.5,1.0
503,5.0,-220.0,1281.0,1068.0,4.0,141.0,0.5,1.0
504,10.0,-1073.0,1044.0,845.0,5.0,71.0,0.5,0.0
505,10.0,-3517.0,1979.0,1198.0,2.0,106.0,0.5,1.0
508,7.0,-1302.0,1822.0,1390.0,4.0,71.0,0.5,0.0
509,7.0,-2521.0,1232.0,592.0,5.0,127.0,0.5,0.0
513,11.0,-3736.0,1983.0,896.0,4.0,71.0,0.5,0.0
514,4.0,-3789.0,1984.0,806.0,3.0,66.0,0.5,1.0
519,5.0,-3582.0,1963.0,1187.0,2.0,153.0,0.5,1.0
521,9.0,-2920.0,1244.0,686.0,4.0,143.0,0.5,0.0
522,8.0,-602.0,1660.0,1254.0,4.0,149.0,0.5,1.0
523,5.0,-2498.0,1175.0,1040.0,4.0,114.0,0.5,0.0
527,7.0,-4707.0,1437.0,657.0,5.0,145.0,0.5,0.0
