if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 > 4.498 and x2 <= 4.532 and x2 > 4.506 then class: 1 | based on 9 samples | coverage 0.35% | error 0.0% | relevance 0.35

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 > 4.498 and x2 > 4.532 and age > 65.5 and x1 > 5.358 then class: 0 | based on 9 samples | coverage 0.37% | error 0.0% | relevance 0.37

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 <= 4.76 and x2 <= 4.498 and x1 <= 12.123 and x1 <= 11.791 and x2 > 4.389 and age <= 66.0 and x1 <= 3.047 then class: 0 | based on 9 samples | coverage 0.37% | error 0.0% | relevance 0.37

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 <= 1.984 and x2 <= 1.845 and x2 > 1.808 then class: 0 | based on 9 samples | coverage 0.37% | error 0.0% | relevance 0.37

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 > 11.648 and age <= 69.0 and x1 > -2.074 and age <= 28.0 then class: 1 | based on 9 samples | coverage 0.35% | error 0.0% | relevance 0.35

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 > 10.965 and x2 <= 12.484 and x2 <= 12.423 and x2 <= 11.825 and x1 <= 12.457 and x1 <= 11.947 and x2 <= 11.76 and x2 <= 11.74 and x2 > 11.648 and age <= 69.0 and x1 > -2.074 and age > 28.0 and x1 <= 6.706 and age > 45.0 then class: 1 | based on 9 samples | coverage 0.35% | error 0.0% | relevance 0.35

if x1 > -2.982 and x2 > -2.985 and x2 > -2.948 and x2 <= 12.989 and x2 <= 12.534 and x2 <= 10.965 and x1 <= 12.544 and x2 > 1.984 and x2 > 3.415 and x2 > 3.455 and x1 > -2.884 and x2 > 4.76 and x1 <= 12.503 and age <= 64.5 and x1 > 4.884 and age > 45.0 and x1 <= 5.085 then class: 1 | based on 8 samples | coverage 0.32% | error 0.0% | relevance 0.32

