if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 <= -2.745 and age > 45.0 then class: 1 | based on 7 samples | coverage 0.28% | error 0.0% | relevance 0.28

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 <= 7.828 and x2 > 1.11 and x2 <= 1.384 and x2 <= 1.219 and age <= 27.0 and x1 <= 7.526 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 > 7.828 and x2 > 7.887 and x2 > 7.999 and x1 > -2.492 and x1 > -2.264 and x1 <= 12.889 and x1 <= 12.748 and x2 <= 9.643 and x1 <= -1.952 and age <= 45.5 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 <= -2.734 then class: 1 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

if x2 <= 12.957 and x1 > -2.805 and x2 <= 12.945 and x1 > -2.745 and x1 > -2.734 and x1 > -2.709 and x2 > -0.508 and x2 <= 9.665 and x2 > 7.828 and x2 > 7.887 and x2 > 7.999 and x1 <= -2.492 then class: 0 | based on 6 samples | coverage 0.24% | error 0.0% | relevance 0.24

